;Load [W];P_Res [W];PV_Production [W];PV_1 [W];PV_1 production [W];PV_2 [W];PV_2 production [W];PV_3 [W];PV_3 production [W];PV_4 [W];PV_4 production [W];PV_5 [W];PV_5 production [W];PV_6 [W];PV_6 production [W];PV_7 [W];PV_7 production [W];PV_8 [W];PV_8 production [W];PV_9 [W];PV_9 production [W];PV_10 [W];PV_10 production [W];PV_11 [W];PV_11 production [W];PV_12 [W];PV_12 production [W];PV_13 [W];PV_13 production [W];PV_14 [W];PV_14 production [W];PV_15 [W];PV_15 production [W];PV_16 [W];PV_16 production [W];PV_17 [W];PV_17 production [W];PV_18 [W];PV_18 production [W];PV_19 [W];PV_19 production [W];PV_20 [W];PV_20 production [W];PV_21 [W];PV_21 production [W];PV_22 [W];PV_22 production [W];PV_23 [W];PV_23 production [W];PV_24 [W];PV_24 production [W];PV_25 [W];PV_25 production [W];PV_26 [W];PV_26 production [W];PV_27 [W];PV_27 production [W];PV_28 [W];PV_28 production [W];PV_29 [W];PV_29 production [W];PV_30 [W];PV_30 production [W];PV_31 [W];PV_31 production [W];PV_32 [W];PV_32 production [W];PV_33 [W];PV_33 production [W];PV_34 [W];PV_34 production [W];PV_35 [W];PV_35 production [W];ES_1 [W];ES_1_capacity [Wh];Electrolyser_1 [W];Electrolyser_1 power [W];H2_Storage 1 [W];H2_Storage 1: H2 Outflow [kg];H2_Storage 1: H2 Inflow [kg];H2_Storage 1 _Storage Level [kg];FuelCell_1 [W];FuelCell_1 Power[W];PV_1 remain [W];PV_2 remain [W];PV_3 remain [W];PV_4 remain [W];PV_5 remain [W];PV_6 remain [W];PV_7 remain [W];PV_8 remain [W];PV_9 remain [W];PV_10 remain [W];PV_11 remain [W];PV_12 remain [W];PV_13 remain [W];PV_14 remain [W];PV_15 remain [W];PV_16 remain [W];PV_17 remain [W];PV_18 remain [W];PV_19 remain [W];PV_20 remain [W];PV_21 remain [W];PV_22 remain [W];PV_23 remain [W];PV_24 remain [W];PV_25 remain [W];PV_26 remain [W];PV_27 remain [W];PV_28 remain [W];PV_29 remain [W];PV_30 remain [W];PV_31 remain [W];PV_32 remain [W];PV_33 remain [W];PV_34 remain [W];PV_35 remain [W];P_Remain_total [W];PV_to_storage [W];WT_to_storage[W];ES_1 soc;from_PV_to_electrolyser [W];from_WT_to_electrolyser [W];Electrolyser_1_Input_Power [W];Electrolyser_1 [%];Electrolyser_1_Hydrogen [kg];Electrolyser_1 Efficiency [%];H2_Storage 1 SOC[%];H2_Storage 1 level [kg];H2-SOC [%]
2024-01-01 00:00:00;352486,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;;;;25.0;352486,72;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,25;0,0;0,0;0,0;0,0;0,0;72,0;0,5;6,106393266743595;1,221278653348719
2024-01-01 01:00:00;349512,08;134616,77192570773;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-212500,0;;0,0;;;;;;2395,3080742923;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,25;0,0;0,0;0,0;0,0;0,0;72,0;;5,0;1,0
2024-01-01 02:00:00;352914,03;352914,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;;;;;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,0;0,0;0,0;0,0;72,0;;5,0;1,0
2024-01-01 03:00:00;369349,59;369349,59;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;;;;;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,0;0,0;0,0;0,0;72,0;;5,0;1,0
2024-01-01 04:00:00;340809,01;340809,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;;;;;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,0;0,0;0,0;0,0;72,0;;5,0;1,0
2024-01-01 05:00:00;297325,07;297325,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;;;;;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,0;0,0;0,0;0,0;72,0;;5,0;1,0
2024-01-01 06:00:00;281783,25;0,0;805183,7132500003;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;5720,262599999922;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;0,0;23005,24895;523400,4632499999;;0,0;;;;;;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17284,98635000008;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;23005,24895;523400,4632499999;523400,4632499999;0,0;0,5426122007058823;0,0;0,0;0,0;0,0;0,0;72,0;;5,0;
2024-01-01 07:00:00;287174,17;0,0;1218213,0995999994;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;8725,461519999968;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;0,0;34806,08856;432849,53675;;498189,39;;;;;;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26080,62704000003;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;34806,08856;931038,9295999995;432849,53675;0,0;0,95;498189,3928499994;0,0;498189,3928499994;36,9;11,19;75,0;;16,189999999999998;
2024-01-01 08:00:00;292654,3;0,0;1998098,398100001;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;7211,671700000021;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;57088,52566;0,0;;1350000,0;;;;;;0,0;0;0,0;0,0;0,0;0,0;0,0;49876,85395999998;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;57088,52566;1705444,0981000008;0,0;0,0;0,95;1350000,0;0,0;1350000,0;100,0;24,3;60,0;;40,489999999999995;
2024-01-01 09:00:00;291378,04;0,0;2193143,2614000016;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;40733,095839999994;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;62661,23604;0,0;;1350000,0;;;;;;0,0;0;0,0;0,0;0,0;0,0;21928,14020000001;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;62661,23604;1901765,2214000013;0,0;0,0;0,95;1350000,0;0,0;1350000,0;100,0;24,3;60,0;;64,78999999999999;
