Spalte1;Annual energy supply [kWh/a];Lifetime energy supply [kWh];Lifetime cost [US$];Investment cost [US$];Annual cost [US$/a];LCOE [US$/kWh];Lifetime CO2 emissions [t];Initial CO2 emissions [t];Annual CO2 emissions [t/a]
PV_to_storage;1538486;23575450;;;;;;;
PV_to_electrolyser;1569485;24050472;;;;;;;
PV_Total;4126364;63231572;;;;;;;
PV_1;82527;1264627;76054;66767;606;0,06;46;46;0
PV_2;82527;1264627;76054;66767;606;0,06;46;46;0
PV_3;82527;1264627;76054;66767;606;0,06;46;46;0
PV_4;82527;1264627;76054;66767;606;0,06;46;46;0
PV_5;82527;1264627;76054;66767;606;0,06;46;46;0
PV_6;82527;1264627;76054;66767;606;0,06;46;46;0
PV_7;82527;1264627;76054;66767;606;0,06;46;46;0
PV_8;82527;1264627;76054;66767;606;0,06;46;46;0
PV_9;82527;1264627;76054;66767;606;0,06;46;46;0
PV_10;82527;1264627;76054;66767;606;0,06;46;46;0
PV_11;82527;1264627;76054;66767;606;0,06;46;46;0
PV_12;82527;1264627;76054;66767;606;0,06;46;46;0
PV_13;82527;1264627;76054;66767;606;0,06;46;46;0
PV_14;82527;1264627;76054;66767;606;0,06;46;46;0
PV_15;82527;1264627;76054;66767;606;0,06;46;46;0
PV_16;82527;1264627;76054;66767;606;0,06;46;46;0
PV_17;82527;1264627;76054;66767;606;0,06;46;46;0
PV_18;82527;1264627;76054;66767;606;0,06;46;46;0
PV_19;82527;1264627;76054;66767;606;0,06;46;46;0
PV_20;82527;1264627;76054;66767;606;0,06;46;46;0
PV_21;82527;1264627;76054;66767;606;0,06;46;46;0
PV_22;82527;1264627;76054;66767;606;0,06;46;46;0
PV_23;82527;1264627;76054;66767;606;0,06;46;46;0
PV_24;82527;1264627;76054;66767;606;0,06;46;46;0
PV_25;82527;1264627;76054;66767;606;0,06;46;46;0
PV_26;82527;1264627;76054;66767;606;0,06;46;46;0
PV_27;82527;1264627;76054;66767;606;0,06;46;46;0
PV_28;82527;1264627;76054;66767;606;0,06;46;46;0
PV_29;82527;1264627;76054;66767;606;0,06;46;46;0
PV_30;82527;1264627;76054;66767;606;0,06;46;46;0
PV_31;82527;1264627;76054;66767;606;0,06;46;46;0
PV_32;82527;1264627;76054;66767;606;0,06;46;46;0
PV_33;82527;1264627;76054;66767;606;0,06;46;46;0
PV_34;82527;1264627;76054;66767;606;0,06;46;46;0
PV_35;82527;1264627;76054;66767;606;0,06;46;46;0
PV_36;82527;1264627;76054;66767;606;0,06;46;46;0
PV_37;82527;1264627;76054;66767;606;0,06;46;46;0
PV_38;82527;1264627;76054;66767;606;0,06;46;46;0
PV_39;82527;1264627;76054;66767;606;0,06;46;46;0
PV_40;82527;1264627;76054;66767;606;0,06;46;46;0
PV_41;82527;1264627;76054;66767;606;0,06;46;46;0
PV_42;82527;1264627;76054;66767;606;0,06;46;46;0
PV_43;82527;1264627;76054;66767;606;0,06;46;46;0
PV_44;82527;1264627;76054;66767;606;0,06;46;46;0
PV_45;82527;1264627;76054;66767;606;0,06;46;46;0
PV_46;82527;1264627;76054;66767;606;0,06;46;46;0
PV_47;82527;1264627;76054;66767;606;0,06;46;46;0
PV_48;82527;1264627;76054;66767;606;0,06;46;46;0
PV_49;82527;1264627;76054;66767;606;0,06;46;46;0
PV_50;82527;1264627;76054;66767;606;0,06;46;46;0
ES_1;1533427;23497927;7168394;5755509;92201,97;0,31;1077;1077,85;0
ES_1_charge;1538486;23575450;;;;;;;
ES_1_discharge;1533427;23497927;;;;;;;
Electrolyser_1;1543321,868;23649554;7318324;6345570;63480;0,31;110;110,85;0
FuelCell_1;456588;6996662;3282108;3282108;0;0,47;23;23,214;0
System;3010347;46129952;25232126;22382137;185981,97;0,55;3798;3799,914;0
PV_to_load;1018392;15605634;;;;;;;
H2_Storage 1;;;3660600;3660600;0;;288;288;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;0,469096263;;0,295847554;;;;
;;;0,697482495;;;;;;
