;temp_air;relative_humidity;ghi;dni;dhi;IR(h);wind_speed;wind_direction;pressure;precipitable_water
2025-01-01 00:00:00;25,28;79,87;0,0;0,0;0,0;383,5;1,52;239,0;97810,0;0,1
2025-01-01 01:00:00;24,5;83,38;0,0;0,0;0,0;379,61;1,42;230,0;97820,0;0,1
2025-01-01 02:00:00;23,71;86,89;0,0;0,0;0,0;375,73;1,32;214,0;97850,0;0,1
2025-01-01 03:00:00;22,93;90,39;0,0;0,0;0,0;371,85;1,22;216,0;97840,0;0,1
2025-01-01 04:00:00;22,15;93,9;0,0;0,0;0,0;367,97;1,13;207,0;97820,0;0,1
2025-01-01 05:00:00;21,36;97,41;0,0;0,0;0,0;364,09;1,03;195,0;97780,0;0,1
2025-01-01 06:00:00;20,58;100,0;0,0;0,0;0,0;360,21;0,93;202,0;97760,0;0,1
2025-01-01 07:00:00;19,8;100,0;0,0;0,0;0,0;356,32;0,84;214,0;97650,0;0,1
2025-01-01 08:00:00;21,95;93,05;0,0;0,0;0,0;400,2;1,1;144,0;97690,0;0,1
2025-01-01 09:00:00;21,77;93,05;0,0;0,0;0,0;406,0;1,1;70,0;97780,0;0,1
2025-01-01 10:00:00;21,88;96,15;100,0;81,97;77,0;401,4;1,31;78,0;97900,0;0,1
2025-01-01 11:00:00;22,55;93,05;238,0;89,8;193,0;415,7;1,1;84,0;97990,0;0,1
2025-01-01 12:00:00;23,32;90,05;394,0;128,94;305,0;416,85;1,17;43,0;98010,0;0,1
2025-01-01 13:00:00;24,36;84,35;572,0;219,12;389,0;422,85;1,59;11,0;97990,0;0,1
2025-01-01 14:00:00;25,24;87,25;670,0;236,51;451,0;428,1;1,1;7,0;97970,0;0,1
2025-01-01 15:00:00;25,89;84,5;771,0;330,38;455,0;433,5;1,03;2,0;97920,0;0,1
2025-01-01 16:00:00;27,0;76,7;733,0;285,52;469,0;430,8;0,83;5,0;97820,0;0,1
2025-01-01 17:00:00;27,67;71,9;773,0;496,06;360,0;435,05;1,03;5,0;97740,0;0,1
2025-01-01 18:00:00;28,1;72,0;709,0;693,32;233,0;422,3;1,52;359,0;97650,0;0,1
2025-01-01 19:00:00;28,08;69,65;509,0;624,29;199,0;425,75;1,52;13,0;97430,0;0,1
2025-01-01 20:00:00;27,57;74,3;226,0;217,75;166,0;414,35;1,59;21,0;97550,0;0,1
2025-01-01 21:00:00;26,78;81,85;27,0;0,0;27,0;406,0;1,45;351,0;97550,0;0,1
2025-01-01 22:00:00;25,84;84,5;0,0;0,0;0,0;408,95;1,31;0,0;97610,0;0,1
2025-01-01 23:00:00;24,95;90,15;0,0;0,0;0,0;401,0;1,24;6,0;97690,0;0,1
2025-01-02 00:00:00;24,6;93,1;0,0;0,0;0,0;401,0;0,62;5,0;97820,0;0,1
2025-01-02 01:00:00;23,91;96,2;0,0;0,0;0,0;402,45;0,9;347,0;97840,0;0,1
2025-01-02 02:00:00;23,29;96,2;0,0;0,0;0,0;398,1;1,17;338,0;97870,0;0,1
2025-01-02 03:00:00;23,21;96,2;0,0;0,0;0,0;397,1;0,83;319,0;97860,0;0,1
2025-01-02 04:00:00;22,77;99,4;0,0;0,0;0,0;399,85;0,69;298,0;97800,0;0,1
2025-01-02 05:00:00;22,58;99,4;0,0;0,0;0,0;409,7;0,97;336,0;97780,0;0,1
2025-01-02 06:00:00;22,7;99,4;0,0;0,0;0,0;412,8;1,31;358,0;97760,0;0,1
2025-01-02 07:00:00;23,06;93,05;0,0;0,0;0,0;402,15;2,0;2,0;97750,0;0,1
