;temp_air;relative_humidity;wind_speed;wind_direction;pressure
2022-01-01 00:00:00;25,28;79,87;1,52;239,0;97810,0
2022-01-01 00:15:00;25,085;80,7475;1,495;236,75;97812,5
2022-01-01 00:30:00;24,89;81,625;1,47;234,5;97815,0
2022-01-01 00:45:00;24,695;82,5025;1,4449999999999998;232,25;97817,5
2022-01-01 01:00:00;24,5;83,38;1,42;230,0;97820,0
2022-01-01 01:15:00;24,302500000000002;84,2575;1,395;226,0;97827,5
2022-01-01 01:30:00;24,105;85,13499999999999;1,37;222,0;97835,0
2022-01-01 01:45:00;23,9075;86,0125;1,345;218,0;97842,5
2022-01-01 02:00:00;23,71;86,89;1,32;214,0;97850,0
2022-01-01 02:15:00;23,515;87,765;1,295;214,5;97847,5
2022-01-01 02:30:00;23,32;88,64;1,27;215,0;97845,0
2022-01-01 02:45:00;23,125;89,515;1,245;215,5;97842,5
2022-01-01 03:00:00;22,93;90,39;1,22;216,0;97840,0
2022-01-01 03:15:00;22,735;91,2675;1,1975;213,75;97835,0
2022-01-01 03:30:00;22,54;92,14500000000001;1,1749999999999998;211,5;97830,0
2022-01-01 03:45:00;22,345;93,02250000000001;1,1524999999999999;209,25;97825,0
2022-01-01 04:00:00;22,15;93,9;1,13;207,0;97820,0
2022-01-01 04:15:00;21,9525;94,7775;1,105;204,0;97810,0
2022-01-01 04:30:00;21,755;95,655;1,08;201,0;97800,0
2022-01-01 04:45:00;21,557499999999997;96,5325;1,055;198,0;97790,0
2022-01-01 05:00:00;21,36;97,41;1,03;195,0;97780,0
2022-01-01 05:15:00;21,165;98,0575;1,0050000000000001;196,75;97775,0
2022-01-01 05:30:00;20,97;98,705;0,98;198,5;97770,0
2022-01-01 05:45:00;20,775;99,3525;0,9550000000000001;200,25;97765,0
2022-01-01 06:00:00;20,58;100,0;0,93;202,0;97760,0
2022-01-01 06:15:00;20,384999999999998;100,0;0,9075;205,0;97732,5
2022-01-01 06:30:00;20,189999999999998;100,0;0,885;208,0;97705,0
2022-01-01 06:45:00;19,995;100,0;0,8625;211,0;97677,5
2022-01-01 07:00:00;19,8;100,0;0,84;214,0;97650,0
2022-01-01 07:15:00;20,3375;98,2625;0,905;196,5;97660,0
2022-01-01 07:30:00;20,875;96,525;0,97;179,0;97670,0
2022-01-01 07:45:00;21,4125;94,7875;1,0350000000000001;161,5;97680,0
2022-01-01 08:00:00;21,95;93,05;1,1;144,0;97690,0
2022-01-01 08:15:00;21,905;93,05;1,1;125,5;97712,5
2022-01-01 08:30:00;21,86;93,05;1,1;107,0;97735,0
2022-01-01 08:45:00;21,814999999999998;93,05;1,1;88,5;97757,5
2022-01-01 09:00:00;21,77;93,05;1,1;70,0;97780,0
